date,ticker,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl
2023-01-12,DIA,1,2023-01-11,2023-01-12,339.77,340.73,0.9600000000000364,48.00000000000182,94.00000000000364
2023-01-12,SPY,1,2023-01-11,2023-01-12,395.53,396.66,1.1300000000000523,56.500000000002615,111.00000000000523
2023-01-13,DIA,1,2023-01-12,2023-01-13,342.01,339.16,-2.849999999999966,-142.4999999999983,-286.9999999999966
2023-01-13,SPY,1,2023-01-12,2023-01-13,396.96999999999997,393.61,-3.359999999999957,-167.99999999999784,-337.9999999999957
2023-01-17,DIA,1,2023-01-13,2023-01-17,343.05,342.35,-0.6999999999999886,-34.99999999999943,-71.99999999999886
2023-01-17,SPY,1,2023-01-13,2023-01-17,398.51,398.48,-0.029999999999972715,-1.4999999999986358,-4.9999999999972715
2023-01-18,DIA,1,2023-01-17,2023-01-18,339.17,339.55,0.37999999999999545,18.999999999999773,35.999999999999545
2023-01-18,SPY,1,2023-01-17,2023-01-18,397.78,398.97,1.1900000000000546,59.50000000000273,117.00000000000546
2023-01-19,IWM,1,2023-01-18,2023-01-19,183.81,182.72,-1.0900000000000034,-54.50000000000017,-111.00000000000034
2023-01-23,IWM,1,2023-01-20,2023-01-23,185.04999999999998,185.42000000000002,0.37000000000003297,18.50000000000165,35.0000000000033
2023-01-24,IWM,1,2023-01-23,2023-01-24,187.34,186.58,-0.7599999999999909,-37.999999999999545,-77.99999999999909
2023-01-25,IWM,1,2023-01-24,2023-01-25,186.94,185.4,-1.539999999999992,-76.9999999999996,-155.9999999999992
2023-01-26,IWM,1,2023-01-25,2023-01-26,187.45999999999998,188.95000000000002,1.4900000000000375,74.50000000000188,147.00000000000375
2023-01-27,DIA,1,2023-01-26,2023-01-27,339.37,339.39,0.01999999999998181,0.9999999999990905,-1.8189894035458565e-12
2023-01-27,IWM,1,2023-01-26,2023-01-27,188.57,187.97,-0.5999999999999943,-29.999999999999716,-61.99999999999943
2023-01-30,DIA,1,2023-01-27,2023-01-30,339.62,338.43,-1.1899999999999977,-59.499999999999886,-120.99999999999977
2023-01-30,IWM,1,2023-01-27,2023-01-30,189.59,187.79000000000002,-1.799999999999983,-89.99999999999915,-181.9999999999983
2023-01-31,DIA,1,2023-01-30,2023-01-31,337.07,337.66,0.5900000000000318,29.50000000000159,57.00000000000318
2023-01-31,IWM,1,2023-01-30,2023-01-31,186.95,187.41,0.46000000000000796,23.000000000000398,44.000000000000796
2023-02-01,DIA,1,2023-01-31,2023-02-01,340.84,339.11,-1.7299999999999613,-86.49999999999807,-174.99999999999613
2023-02-01,IWM,1,2023-01-31,2023-02-01,191.48999999999998,191.16,-0.3299999999999841,-16.499999999999204,-34.99999999999841
2023-02-02,DIA,1,2023-02-01,2023-02-02,340.88,341.38,0.5,25.0,48.0
2023-02-02,IWM,1,2023-02-01,2023-02-02,194.5,196.02,1.5200000000000102,76.00000000000051,150.00000000000102
